ID,Name,Country,Events_2025,Total_Heats,Tours
4713,Blanca Olivares,Spain,3,1,"MQS, WJUN, WQS"
5793,Blas Hernandez,Canary Islands,0,0,
13560,Blas Hernandez,Canary Islands,0,0,
666,Borja Agote,Basque Country,3,3,MQS
4710,Borja Crespan,Spain,1,1,MJUN
10494,Borja Cueto Cuesta,Spain,0,0,
7196,Borja Malvar,Spain,4,5,"MQS, MJUN"
1872,Borja Nieto,Basque Country,0,0,
4464,Bosco Ruiz Imbert,Spain,1,0,MJUN
19476,Bruno Lucas Cocco,Spain,0,0,
7657,Cala Zarza,Canary Islands,1,1,WJUN
4993,Candela Azurza,Spain,0,0,
2903,Carla Alvarez,Spain,0,0,
20184,Carla Mendez Acebo,Spain,1,1,WJUN
18529,Carla Morera De La Vall,Spain,5,12,"WJUN, WQS"
9523,Carla Suárez,Spain,1,1,WJUN
1882,Carlos Arbelo,Canary Islands,0,0,
6956,Carlos De La Rosa Valido,Canary Islands,0,0,
7169,Carlos Fernandez,Spain,1,0,MQS
1634,Carlos Marques,Spain,1,2,MQS
15961,Carlos Quintero,Spain,1,1,MQS
4708,Carlos vazquez,Spain,1,1,MJUN
14548,Carlota Barreras,Spain,0,0,
14552,Carlota Barreras,Spain,2,3,WJUN
13945,Carlota Barreras Tapias,Spain,1,1,WJUN
15092,Carlota Jauregui,Spain,1,4,WLT
15568,Carmen Garay Irigoras,Spain,4,7,"WJUN, WQS"
13943,Carmen Mier Mallada,Spain,2,2,WJUN
8054,Casandra Castano,Spain,0,0,
13522,Casandra Castanos,Spain,0,0,
15915,Catalina Diaz Gomez,Spain,3,3,"WJUN, WQS"
1642,Chris Jimenez Garcia,Spain,0,0,
2235,Christian Jimenez,Spain,1,1,MQS
16067,Claudia Prieto Sapena,Spain,2,2,"WJUN, WQS"
15947,Conor Donegan Santos,Spain,6,14,"MQS, MJUN"
5292,Cristian Rincon,Canary Islands,0,0,
6954,Cristian Rincon Ortega,Canary Islands,0,0,
19376,Cristina Collazo Castiñeira,Spain,1,1,WLT
18702,Cristina De Llano Ozores,Spain,1,2,WJUN
16068,Cristina Iglesias,Spain,1,1,WQS
4712,Cristina Rey,Spain,2,1,"WJUN, WQS"
16079,Cristóbal Llera,Spain,0,0,
5890,Cuco Molares,Spain,0,0,
4472,Dairen Melian,Canary Islands,1,1,WJUN
12749,Damian Ceballos,Canary Islands,1,1,MQS
15491,Damian Moro,Canary Islands,2,3,MQS
17263,Damian Moro Ceballos,Spain,0,0,
7434,Damian Moro Ceballos,Canary Islands,0,0,
20252,Danel Irisarri,Spain,0,0,
15449,Danel Lajas,Spain,5,8,"MQS, MJUN"
5899,Dani Alvite,Spain,0,0,
9351,Dani Aznar,Spain,2,2,MQS
5900,Dani Garcia,Spain,1,3,MQS
1315,Dani Goya,Spain,0,0,
758,Daniel Aznar,Spain,0,0,
19143,Daniel Román,Spain,2,4,MJUN
17181,Daniela Alonso,Spain,1,2,WJUN
15600,Daniela Escobar,Spain,0,0,
19231,Daniela Fernández,Spain,1,1,WLT
18632,Daniela Román,Spain,2,2,"WJUN, WQS"
1861,David Acevedo,Canary Islands,0,0,
14423,David Arbelo,Canary Islands,1,1,MQS
7131,David Bustamante,Basque Country,1,1,MBWT
754,David Echague,Spain,1,1,MQS
13109,David Garcia Ara,Spain,1,1,MQS
12575,David Infante Lopez,Canary Islands,0,0,
14874,David Infante Lopez,Canary Islands,1,0,MJUN
675,David Luis,Spain,0,0,
